part_number,daily_rows,first_date,last_date,valid_sequence_count,excluded,exclusion_reason
Part 54,49,2021-09-13,2021-11-01,44,False,
Part 55,49,2021-09-13,2021-11-01,44,False,
Part 56,49,2021-09-13,2021-11-01,44,False,
Part 57,49,2021-09-13,2021-11-01,44,False,
Part 58,49,2021-09-13,2021-11-01,44,False,
Part 59,49,2021-09-13,2021-11-01,44,False,
Part 6,49,2021-09-13,2021-11-01,44,False,
Part 60,49,2021-09-13,2021-11-01,44,False,
Part 61,49,2021-09-13,2021-11-01,44,False,
Part 62,49,2021-09-13,2021-11-01,44,False,
Part 63,49,2021-09-13,2021-11-01,44,False,
Part 64,49,2021-09-13,2021-11-01,44,False,
Part 65,49,2021-09-13,2021-11-01,44,False,
Part 66,49,2021-09-13,2021-11-01,44,False,
Part 67,49,2021-09-13,2021-11-01,44,False,
Part 68,49,2021-09-13,2021-11-01,44,False,
Part 69,49,2021-09-13,2021-11-01,44,False,
Part 7,49,2021-09-13,2021-11-01,44,False,
Part 70,49,2021-09-13,2021-11-01,44,False,
Part 71,49,2021-09-13,2021-11-01,44,False,
Part 72,49,2021-09-13,2021-11-01,44,False,
Part 73,49,2021-09-13,2021-11-01,44,False,
Part 74,49,2021-09-13,2021-11-01,44,False,
Part 75,49,2021-09-13,2021-11-01,44,False,
Part 76,49,2021-09-13,2021-11-01,44,False,
Part 77,49,2021-09-13,2021-11-01,44,False,
Part 78,49,2021-09-13,2021-11-01,44,False,
Part 79,49,2021-09-13,2021-11-01,44,False,
Part 8,49,2021-09-13,2021-11-01,44,False,
Part 80,49,2021-09-13,2021-11-01,44,False,
Part 81,49,2021-09-13,2021-11-01,44,False,
Part 82,49,2021-09-13,2021-11-01,44,False,
Part 83,49,2021-09-13,2021-11-01,44,False,
Part 84,49,2021-09-13,2021-11-01,44,False,
Part 85,49,2021-09-13,2021-11-01,44,False,
Part 86,49,2021-09-13,2021-11-01,44,False,
Part 87,49,2021-09-13,2021-11-01,44,False,
Part 88,49,2021-09-13,2021-11-01,44,False,
Part 89,49,2021-09-13,2021-11-01,44,False,
Part 9,49,2021-09-13,2021-11-01,44,False,
Part 90,49,2021-09-13,2021-11-01,44,False,
Part 91,49,2021-09-13,2021-11-01,44,False,
Part 92,49,2021-09-13,2021-11-01,44,False,
Part 94,49,2021-09-13,2021-11-01,44,False,
Part 95,49,2021-09-13,2021-11-01,44,False,
Part 97,49,2021-09-13,2021-11-01,44,False,
Part 98,49,2021-09-13,2021-11-01,44,False,
Part 99,49,2021-09-13,2021-11-01,44,False,
