part_number,Model,N,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
Part 38,CatBoost,37,45.528014823551324,55.099786550397695,53.34187930561745,-11.08529005513364,-0.345312677255071
Part 39,XGBoost,37,13.589547930537043,16.911345952929675,57.5960221569153,1.6574807553677946,-0.1389362133190486
Part 39,3-day Moving Average,37,13.54954954954955,16.833221835327823,57.426498663612065,-2.2342342342342345,-0.12843759736977156
Part 39,LightGBM,37,12.393876535932314,15.221551721142658,52.52845725423776,-0.6335555874647061,0.07729917391464092
Part 39,CatBoost,37,13.416308823618962,17.57747499374018,56.86178997410099,1.4850831984522543,-0.23042750717341942
Part 4,XGBoost,37,72.95652966885953,88.97983235706525,34.417845183575196,-24.068113481676257,-0.13781979291880875
Part 4,3-day Moving Average,37,69.15315315315316,83.03886712530135,32.623570912490976,-10.054054054054056,0.009046789376655151
Part 4,LightGBM,37,77.3313445160406,91.9480281400093,36.48170020519575,-29.48508035462744,-0.21499686692230302
Part 4,CatBoost,37,78.21151871045181,94.51220947615509,36.89692964792447,-36.6908181573046,-0.283707711370631
Part 40,XGBoost,37,2.6716366378036707,3.3488563067888055,173.42202736620317,1.870890428891053,0.2884829922394233
Part 40,3-day Moving Average,37,2.6486486486486482,5.263620969038871,171.92982456140348,0.10810810810810803,-0.7577676851937667
Part 40,LightGBM,37,2.180694933053759,3.2578412237811585,141.5538816192791,1.4859442707486772,0.3266325979008865
Part 40,CatBoost,37,2.5375261021632514,3.6625414769199693,164.71660663164965,1.6066956832242723,0.14894551923033583
Part 41,XGBoost,37,17.699980851766224,21.908689758541374,60.13767598855375,1.2118674742208946,-0.2706269151340521
Part 41,3-day Moving Average,37,18.0990990990991,22.14320034054069,61.49372513008877,-1.2522522522522528,-0.2979740751053632
Part 41,LightGBM,37,17.848203942861524,22.36509360711647,60.641280613946414,-3.9107854260483563,-0.3241179713186977
Part 41,CatBoost,37,18.63963227301457,23.554954412749634,63.330247392244175,-1.1857011882328907,-0.46875641231670895
Part 42,XGBoost,37,4.245697430662207,5.1129129474662,56.10385890517916,0.32120967877877726,0.3469300713749065
Part 42,3-day Moving Average,37,4.882882882882882,6.87293512534763,64.5238095238095,-0.9549549549549549,-0.18006893755068942
Part 42,LightGBM,37,3.994859730020645,5.364821515880117,52.789217860987094,1.088676679975189,0.2809924589537304
Part 42,CatBoost,37,4.138212910477412,5.103798558352391,54.683527745594375,0.7509190656370246,0.3492563492247357
Part 43,XGBoost,37,10.542208996978966,26.617574796721836,91.99569171892023,-3.642061004767547,0.19939607877777565
