file,cycle_id,start_time,end_time,points,anomaly_points,max_anomaly_score,zero_power_points,true_anomaly_points,anomaly_page_nos,judgement
WeldingTest_02_OK,25,2022-02-11 11:55:38.638,2022-02-11 11:57:50.300,39,0,3.058,0,0,,정상
WeldingTest_02_OK,26,2022-02-11 13:04:40.464,2022-02-11 13:06:52.586,39,0,3.058,0,0,,정상
WeldingTest_02_OK,27,2022-02-11 13:07:40.540,2022-02-11 13:09:52.376,39,0,3.058,0,0,,정상
WeldingTest_02_OK,28,2022-02-11 13:10:39.826,2022-02-11 13:12:51.303,39,0,3.058,0,0,,정상
WeldingTest_02_OK,29,2022-02-11 13:18:18.752,2022-02-11 13:20:30.580,39,0,3.058,0,0,,정상
WeldingTest_02_OK,30,2022-02-11 13:21:17.522,2022-02-11 13:23:30.022,39,0,3.058,0,0,,정상
WeldingTest_02_OK,31,2022-02-11 13:36:27.398,2022-02-11 13:38:38.492,39,0,3.044,0,0,,정상
WeldingTest_02_OK,32,2022-02-11 13:39:25.529,2022-02-11 13:41:37.651,39,0,3.058,0,0,,정상
WeldingTest_02_OK,33,2022-02-11 14:19:15.716,2022-02-11 14:21:27.504,39,0,3.058,0,0,,정상
WeldingTest_02_OK,34,2022-02-11 14:22:15.301,2022-02-11 14:24:27.025,39,0,3.044,0,0,,정상
WeldingTest_02_OK,35,2022-02-11 14:25:14.595,2022-02-11 14:27:26.671,39,0,3.058,0,0,,정상
WeldingTest_02_OK,36,2022-02-11 14:28:14.403,2022-02-11 14:30:26.660,39,0,3.044,0,0,,정상
WeldingTest_02_OK,37,2022-02-11 14:31:13.104,2022-02-11 14:33:25.068,39,0,3.058,0,0,,정상
WeldingTest_02_OK,38,2022-02-11 14:34:12.036,2022-02-11 14:36:24.157,39,0,3.058,0,0,,정상
WeldingTest_02_OK,39,2022-02-11 14:43:21.104,2022-02-11 14:45:32.856,39,0,3.084,0,0,,정상
WeldingTest_02_OK,40,2022-02-11 14:46:19.896,2022-02-11 14:48:32.550,39,0,3.058,0,0,,정상
WeldingTest_02_OK,41,2022-02-11 14:49:19.354,2022-02-11 14:51:31.919,39,0,3.084,0,0,,정상
WeldingTest_02_OK,42,2022-02-11 16:11:06.260,2022-02-11 16:13:17.522,39,0,3.044,0,0,,정상
WeldingTest_02_OK,43,2022-02-11 16:14:05.062,2022-02-11 16:16:17.109,39,0,3.058,0,0,,정상
WeldingTest_02_OK,44,2022-02-11 16:41:50.742,2022-02-11 16:44:02.191,39,0,3.058,0,0,,정상
WeldingTest_02_OK,45,2022-02-11 16:44:48.313,2022-02-11 16:47:00.689,39,0,3.044,0,0,,정상
WeldingTest_02_OK,46,2022-02-11 16:47:47.661,2022-02-11 16:50:00.264,39,0,3.058,0,0,,정상
WeldingTest_02_OK,47,2022-02-11 16:55:38.252,2022-02-11 16:57:50.151,39,0,3.044,0,0,,정상
WeldingTest_02_OK,48,2022-02-11 16:58:36.609,2022-02-11 17:00:48.295,39,0,3.044,0,0,,정상
WeldingTest_03_NG,1,2022-08-03 09:10:24.996,2022-08-03 09:12:35.935,39,1,13.764,0,1,14,재검사 권고
WeldingTest_03_NG,2,2022-08-03 09:13:23.573,2022-08-03 09:15:34.947,39,1,13.251,0,1,14,재검사 권고
WeldingTest_03_NG,3,2022-08-03 09:20:12.830,2022-08-03 09:22:25.176,39,1,13.787,0,1,14,재검사 권고
WeldingTest_03_NG,4,2022-08-03 09:32:13.603,2022-08-03 09:34:25.260,39,1,13.102,0,1,14,재검사 권고
WeldingTest_03_NG,5,2022-08-03 09:35:12.514,2022-08-03 09:37:23.832,39,1,12.318,0,1,14,재검사 권고
WeldingTest_03_NG,6,2022-08-03 09:38:41.402,2022-08-03 09:40:53.137,39,1,13.241,0,1,14,재검사 권고
WeldingTest_03_NG,7,2022-08-03 09:41:46.815,2022-08-03 09:43:58.245,39,1,13.269,0,1,14,재검사 권고
WeldingTest_03_NG,8,2022-08-03 09:44:44.527,2022-08-03 09:46:56.452,39,2,12.318,0,1,"14,16",재검사 권고
WeldingTest_03_NG,9,2022-08-03 09:56:37.689,2022-08-03 09:58:49.037,39,1,13.834,0,1,14,재검사 권고
WeldingTest_03_NG,10,2022-08-03 09:59:35.085,2022-08-03 10:01:46.430,39,0,3.044,0,0,,정상
WeldingTest_03_NG,11,2022-08-03 10:02:33.212,2022-08-03 10:04:45.566,39,0,3.048,0,0,,정상
WeldingTest_03_NG,12,2022-08-03 10:10:47.157,2022-08-03 10:12:59.843,39,1,13.228,0,1,14,재검사 권고
WeldingTest_03_NG,13,2022-08-03 10:24:18.393,2022-08-03 10:26:30.657,39,1,13.867,0,1,14,재검사 권고
WeldingTest_03_NG,14,2022-08-03 10:52:28.469,2022-08-03 10:54:40.011,39,1,13.808,0,1,14,재검사 권고
WeldingTest_03_NG,15,2022-08-03 10:56:50.183,2022-08-03 10:59:02.694,39,1,13.834,0,1,14,재검사 권고
WeldingTest_03_NG,16,2022-08-03 10:59:49.232,2022-08-03 11:02:01.110,39,1,13.284,0,1,14,재검사 권고
WeldingTest_03_NG,17,2022-08-03 11:02:58.376,2022-08-03 11:05:09.935,39,1,13.228,0,1,14,재검사 권고
WeldingTest_03_NG,18,2022-08-03 11:08:50.777,2022-08-03 11:11:02.333,39,1,13.808,0,1,14,재검사 권고
WeldingTest_03_NG,19,2022-08-03 11:11:49.750,2022-08-03 11:14:02.278,39,1,13.228,0,1,14,재검사 권고
WeldingTest_03_NG,20,2022-08-03 11:17:29.662,2022-08-03 11:19:42.007,39,1,13.764,0,1,14,재검사 권고
WeldingTest_03_NG,21,2022-08-03 11:34:20.853,2022-08-03 11:36:32.005,39,1,13.542,0,1,14,재검사 권고
WeldingTest_03_NG,22,2022-08-03 14:42:18.663,2022-08-03 14:44:29.904,39,0,3.058,0,0,,정상
WeldingTest_03_NG,23,2022-08-03 14:45:30.556,2022-08-03 14:47:43.534,39,0,3.058,0,0,,정상
