document_id,part_number,Model,N,Actual_Total,Actual_Mean,Zero_Actual_Count,Over_Prediction_Count,Exact_Count,Under_Prediction_Count,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
part_112__3_day_moving_average,Part 112,3-day Moving Average,5,0.0,0.0,5,0,5,0,0.0,0.0,,0.0,
part_112__d_3_plan_reference,Part 112,D+3 Plan Reference,5,0.0,0.0,5,0,5,0,0.0,0.0,,0.0,
part_113__xgboost,Part 113,XGBoost,9,0.0,0.0,9,0,9,0,0.0,0.0,,0.0,
part_113__lightgbm,Part 113,LightGBM,9,0.0,0.0,9,8,1,0,0.002250141896992045,0.00274742537615198,,0.002250141896992045,
part_113__catboost,Part 113,CatBoost,9,0.0,0.0,9,5,4,0,0.0545108231080024,0.07489945906286098,,0.0545108231080024,
part_113__lstm,Part 113,LSTM,9,0.0,0.0,9,9,0,0,1.4466151111111112,1.671947838719377,,1.4466151111111112,
part_113__3_day_moving_average,Part 113,3-day Moving Average,9,0.0,0.0,9,1,8,0,0.037037038140826754,0.11111111442248027,,0.037037038140826754,
part_113__d_3_plan_reference,Part 113,D+3 Plan Reference,9,0.0,0.0,9,0,9,0,0.0,0.0,,0.0,
part_114__xgboost,Part 114,XGBoost,8,11.0,1.375,6,0,6,2,1.375,2.7613402542968153,100.0,-1.375,-0.3297002724795641
part_114__lightgbm,Part 114,LightGBM,8,11.0,1.375,6,6,0,2,1.480474523520033,2.2012168090047446,107.67087443782057,-0.5355465496785159,0.1550333837174881
part_114__catboost,Part 114,CatBoost,8,11.0,1.375,6,3,3,2,1.3991683842199167,2.1654500339130434,101.75770067053939,-0.6318428966769831,0.18226941046338963
part_114__lstm,Part 114,LSTM,8,11.0,1.375,6,6,0,2,1.50037644875,2.0098351052556938,109.11828718181818,-0.33533467625,0.2955749928600473
part_114__3_day_moving_average,Part 114,3-day Moving Average,8,11.0,1.375,6,1,5,2,1.625,2.850438562747845,118.18181818181819,-1.125,-0.4168937329700273
part_114__d_3_plan_reference,Part 114,D+3 Plan Reference,8,11.0,1.375,6,0,6,2,0.875,2.1505813167606567,63.63636363636363,-0.875,0.19346049046321523
part_116__xgboost,Part 116,XGBoost,9,4.0,0.4444444444444444,6,3,3,3,0.5122452422222223,0.8279229863021567,115.25517950000001,-0.37664364666666666,-0.4611045834485781
part_116__lightgbm,Part 116,LightGBM,9,4.0,0.4444444444444444,6,6,1,2,0.65512200689447,0.8284325582059977,147.40245155125575,0.2622600038899087,-0.46290370481985366
part_116__catboost,Part 116,CatBoost,9,4.0,0.4444444444444444,6,4,2,3,0.44240887220052294,0.6234205818072224,99.54199624511766,-0.24590069989647548,0.1715549745397552
part_116__lstm,Part 116,LSTM,9,4.0,0.4444444444444444,6,6,0,3,1.3556221088888887,1.705146618879455,305.0149745,1.0394853511111113,-5.1976190616305
part_116__3_day_moving_average,Part 116,3-day Moving Average,9,4.0,0.4444444444444444,6,7,2,0,0.7777777711550394,0.9493337463791947,174.99999850988388,0.7777777711550394,-0.9210526190306034
part_116__d_3_plan_reference,Part 116,D+3 Plan Reference,9,4.0,0.4444444444444444,6,2,4,3,0.5555555555555556,0.7453559924999299,125.0,-0.1111111111111111,-0.18421052631578938
