part_number,daily_rows,first_date,last_date,valid_sequence_count,excluded,exclusion_reason,test_rows,test_start,test_end,actual_total,actual_mean,actual_zero_count,recommended_model,recommended_model_test_mae,document_id,has_test_data
Part 46,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,4.0,0.4444444444444444,5.0,CatBoost,0.31604203079174,part_46,True
Part 47,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,160.0,17.77777777777778,0.0,CatBoost,7.1024845718317655,part_47,True
Part 48,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,143.0,15.88888888888889,2.0,CatBoost,7.1393307954671865,part_48,True
Part 49,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,76.0,8.444444444444445,0.0,CatBoost,3.3520141219313713,part_49,True
Part 5,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,273.0,30.333333333333332,0.0,CatBoost,12.422379451838687,part_5,True
Part 50,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,624.0,69.33333333333333,0.0,3-day Moving Average,23.70370356241862,part_50,True
Part 51,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,803.0,89.22222222222223,0.0,CatBoost,22.266711583892523,part_51,True
Part 52,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,0.0,0.0,9.0,CatBoost,0.40920815812232386,part_52,True
Part 53,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1019.0,113.22222222222223,0.0,3-day Moving Average,37.18518575032552,part_53,True
Part 54,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,514.0,57.111111111111114,0.0,CatBoost,68.43625106639149,part_54,True
Part 55,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,40.0,4.444444444444445,0.0,3-day Moving Average,2.185185180770026,part_55,True
