segment_id,file,start_time,end_time,start_row,end_row,anomaly_rows,cycle_ids,page_nos,set_powers,mean_real_power,mean_predicted_power,mean_page_median_power,max_anomaly_score,max_risk_ratio,inspection_reason,contains_zero_power,true_anomaly_rows,same_page_repeat,priority
WeldingTest_03_NG_015,WeldingTest_03_NG,2022-08-03 11:00:32.164,2022-08-03 11:00:32.164,598,598,1,16,14,35,632.0,678.0,688.0,13.284,3.633,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_016,WeldingTest_03_NG,2022-08-03 11:03:41.320,2022-08-03 11:03:41.320,637,637,1,17,14,35,632.0,677.8,688.0,13.228,3.618,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_017,WeldingTest_03_NG,2022-08-03 11:09:33.549,2022-08-03 11:09:33.549,676,676,1,18,14,35,630.0,677.8,688.0,13.808,3.776,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_018,WeldingTest_03_NG,2022-08-03 11:12:32.702,2022-08-03 11:12:32.702,715,715,1,19,14,35,632.0,677.8,688.0,13.228,3.618,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_019,WeldingTest_03_NG,2022-08-03 11:18:12.820,2022-08-03 11:18:12.820,754,754,1,20,14,35,630.0,677.6,688.0,13.764,3.764,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_020,WeldingTest_03_NG,2022-08-03 11:35:03.643,2022-08-03 11:35:03.643,793,793,1,21,14,35,631.0,677.9,688.0,13.542,3.704,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_04_NG_001,WeldingTest_04_NG,2022-08-03 15:24:13.743,2022-08-03 15:24:37.903,1,8,8,1,"2,3,4,5,6,7,8,9","82,83",1708.8,1703.8,1701.5,5.677,1.552,출력 과다 - 출력 제어부/설정값 점검,False,0,0,높음
WeldingTest_02_OK_001,WeldingTest_02_OK,2022-02-11 11:05:47.853,2022-02-11 11:05:47.853,642,642,1,17,19,83,1692.0,1616.1,1708.0,8.63,2.36,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검",False,0,1,보통
WeldingTest_03_NG_009,WeldingTest_03_NG,2022-08-03 09:45:33.941,2022-08-03 09:45:33.941,288,288,1,8,16,38,682.0,669.2,688.0,3.681,1.007,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검",False,0,1,보통
WeldingTest_04_NG_002,WeldingTest_04_NG,2022-08-03 15:24:43.917,2022-08-03 15:24:47.181,10,11,2,1,"11,12","82,83",1208.5,1703.1,1706.5,128.298,35.089,설정-출력 불일치 - 데이터 수집/동기화 확인,False,0,1,보통
WeldingTest_04_NG_003,WeldingTest_04_NG,2022-08-03 15:25:03.363,2022-08-03 15:25:03.363,17,17,1,1,18,38,1717.0,692.0,688.0,295.844,80.911,설정-출력 불일치 - 데이터 수집/동기화 확인,False,0,1,보통
